label,sender,subject,body
benign,registrar@university.edu,Library hours during exam week,"Dear student,

Your order #840 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,hr@company.example,Seminar: Introduction to Databases,"Good morning,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Best wishes, Support Staff"
benign,notices@university.edu,Library hours during exam week,"Hello,

Your order #842 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,alumni@university.edu,Alumni meetup invitation,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,alumni@university.edu,Office closed on Monday,"Hi there,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,notices@university.edu,Team meeting moved to Friday,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Thanks, Administration"
benign,hr@company.example,Your order has shipped,"Dear student,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Kind regards, Campus Services"
benign,events@university.edu,Seminar: Introduction to Databases,"Dear student,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Thanks, Administration"
benign,notices@university.edu,Course registration confirmation,"Good morning,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Best wishes, Support Staff"
benign,registrar@university.edu,Water bill for June available,"Dear student,

You are invited to the alumni meetup on the 24th at the old student union building.

Thanks, Administration"
benign,receipts@shop.example,Seminar: Introduction to Databases,"Hello,

Your order #8410 shipped today and should arrive within five business days. Thank you for your purchase.

Thanks, Administration"
benign,registrar@university.edu,Your order has shipped,"Hello,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Thanks, Administration"
benign,billing@utility.example,Weekly campus newsletter,"Hi there,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Thanks, Administration"
benign,receipts@shop.example,Monthly payment receipt,"Hello,

You are invited to the alumni meetup on the 24th at the old student union building.

Regards, The Team"
benign,alumni@university.edu,Your order has shipped,"Hi there,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Best wishes, Support Staff"
benign,newsletter@news.example,Water bill for June available,"Hi there,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Kind regards, Campus Services"
benign,receipts@shop.example,Library hours during exam week,"Dear student,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Thanks, Administration"
benign,registrar@university.edu,Your order has shipped,"Good morning,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Regards, The Team"
benign,billing@utility.example,Office closed on Monday,"Dear customer,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Thanks, Administration"
benign,hr@company.example,Your order has shipped,"Good morning,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,events@university.edu,Alumni meetup invitation,"Dear customer,

Our newsletter this week covers campus sports results, the new cafe opening, and volunteering options.

Regards, The Team"
benign,hr@company.example,Water bill for June available,"Dear customer,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Kind regards, Campus Services"
benign,registrar@university.edu,Team meeting moved to Friday,"Hi there,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Kind regards, Campus Services"
benign,events@university.edu,Office closed on Monday,"Good morning,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Thanks, Administration"
benign,alumni@university.edu,Library hours during exam week,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Thanks, Administration"
benign,it-helpdesk@company.example,Seminar: Introduction to Databases,"Dear student,

The office will be closed on Monday for scheduled maintenance. Regular service resumes Tuesday at 9 AM.

Regards, The Team"
benign,billing@utility.example,Library hours during exam week,"Dear student,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,alumni@university.edu,Seminar: Introduction to Databases,"Dear student,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,hr@company.example,Weekly campus newsletter,"Hi there,

The water bill for June is now available in your account. The amount is unchanged from May.

Kind regards, Campus Services"
benign,it-helpdesk@company.example,Course registration confirmation,"Hello,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Thanks, Administration"
benign,newsletter@news.example,Your order has shipped,"Hello,

Your order #8430 shipped today and should arrive within five business days. Thank you for your purchase.

Kind regards, Campus Services"
benign,registrar@university.edu,Course registration confirmation,"Hello,

The water bill for June is now available in your account. The amount is unchanged from May.

Regards, The Team"
benign,hr@company.example,Course registration confirmation,"Good morning,

The weekly team meeting has been moved to Friday at 11 AM. The agenda is attached in the shared drive.

Thanks, Administration"
benign,alumni@university.edu,Alumni meetup invitation,"Dear customer,

Your order #8433 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,newsletter@news.example,Office closed on Monday,"Dear student,

Your registration for the autumn term has been confirmed. Timetables are published on the portal.

Best wishes, Support Staff"
benign,registrar@university.edu,Your order has shipped,"Hi there,

The seminar takes place in Hall B at 3 PM on Thursday. Seats are limited to 80 attendees.

Thanks, Administration"
benign,notices@university.edu,Alumni meetup invitation,"Good morning,

Your order #8436 shipped today and should arrive within five business days. Thank you for your purchase.

Regards, The Team"
benign,notices@university.edu,Seminar: Introduction to Databases,"Hello,

Your order #8437 shipped today and should arrive within five business days. Thank you for your purchase.

Kind regards, Campus Services"
